Titre,Nombre de Jours  de Tournages,Produit Par,Réalisé par,Principaux Interprètes,Date de sortie
CEZANNE ET MOI,1,G Films France,Danièle Thompson,"Guillaume Canet, Guillaume Galienne",2016
CHOUF,47,Tessalit,Karim Dridi,"Sofian Khammes, Foued Nabba.",05/10/16
CHUZPE,1,Tom nagy Photogrpahy,Isabel Kleefeld,"Dieter HALLERVORDEN, Anja KLING",05/09/15
CORNICHE KENNEDY,40,Everybody on Deck,Dominique Cabrera,,2016
DEMAIN TOUT COMMENCE,1,Vendome production,Hugo Gelin,Omar Sy,2016
DUMMY,2,Kedge Business School   Olivier Allavena,,"Yichun Chen, Sofia Belkamel",
ET MON COEUR TRANSPARENT,7,Injam production,"David Vital-Durand, Raphael Vital-Durand","Caterina Murino, Julien Boisselier, Sara Giraudeau, Serge Riaboukine",
ETERNITE,1,Nord-Ouest Films,Tran Anh Hung,"Mélanie Laurent, Audrey Tautou, Bérénice Bejo",24/08/16
LA VACHE,2,Mitico Quad Cinéma,Mohamed Hamidi,"Lambert Wilson, Jamel Debbouze",2016
LE GRAND REVERS,6,SNC Nium,Saidoun Achour,,
LIMBES,16,"Cosmographe
Productions",Tamara Stepanyan,,
ONE WAY TICKET,1,Prodywood,Kamal Nathani,"Sachit Patif, Amruta, Neha Mahajam",2016
VINCENT ET LA FIN DU MONDE,2,Société Les Enragés,Christophe Van Rompaey,"Alexandra Lamy, Spencer Bogaert",
UN HOMME A LA HAUTEUR,34,VVZ Production,Laurent Tirard,"Jean Dujardin, Virginie Efira",25/04/16
TOUR DE FRANCE,7,Les Films des Tournelles  ,Rachid Djaïdani,"Gerard Depardieu, Sadek, Louise Grinberg, ",15/05/16
PERE ET FILS THERAPIE,12,Incognita Film,Emile Gaudreault,"Richard Berry, Waly Dia, Jacques Gamblin",04/10/15
MARSEILLE,49,Eskwad,Kad Merad,"Kad Merad, Patrick Bosso",2016
